Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Rodentia,Sciuridae,Sciurus,gilvigularis,Sciurus_gilvigularis,3,803,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2151;2655,NA,1263707,6.89,-9.65,-1.38,-46.31,-67.77,-57.04,170.41,249.37,1434.8,1647.59
Rodentia,Sciuridae,Sciurus,granatensis,Sciurus_granatensis,3,319,NA,222.98,NA,NA,NA,6,NA,NA,2,NA,NA,6,2,2,730;905;1297;1329;1660;1849;2151;2159;2655;2799;3138,NA,843476,11.35,-1.12,5.11,-61.84,-84.23,-73.04,153.86,233.41,1394.46,1649.1
Rodentia,Sciuridae,Sciurus,griseus,Sciurus_griseus,3,704,NA,294.8,NA,NA,NA,4,NA,43.49,2,NA,287.86,8,2,1,551;730;1297;2151;2655,NA,373639,48.37,32.45,40.41,-115.41,-124.4,-119.9,51.63,101.43,360.21,954.31
Rodentia,Sciuridae,Sciurus,ignitus,Sciurus_ignitus,3,190,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,2,2,905;2151;2655,NA,1594153,0.04,-24.4,-12.17,-57.78,-78.5,-68.14,149.29,227.78,1277.86,1480.78
Rodentia,Sciuridae,Sciurus,igniventris,Sciurus_igniventris,3,700,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,1,905;2151;2655,NA,2245836,6.17,-14.35,-4.08,-60.17,-77.81,-68.99,201.79,250.97,1510.23,1562.85
Rodentia,Sciuridae,Sciurus,lis,Sciurus_lis,3,264,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1573;2151,NA,283014,41.54,30.98,36.26,142.07,129.55,135.81,145.01,105.61,784.99,830.18
Rodentia,Sciuridae,Sciurus,nayaritensis,Sciurus_nayaritensis,3,697,NA,283.77,NA,NA,NA,4,NA,NA,2,NA,NA,8,2,1,32;344;1297;2151;2655,NA,250172,31.95,19.14,25.54,-102.54,-109.6,-106.07,44.73,148.54,662.41,1349.72
Rodentia,Sciuridae,Sciurus,niger,Sciurus_niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1543;1662,NA,4359547,51.95,24.94,38.45,-75.05,-109.73,-92.39,71.07,126.75,760.59,916.92
Rodentia,Sciuridae,Sciurus,oculatus,Sciurus_oculatus,3,650,NA,268.73,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,345;2151;2655,NA,102333,22.94,18.7,20.82,-96.93,-101.48,-99.2,73.27,180.91,896.42,1349.84
Rodentia,Sciuridae,Sciurus,pucheranii,Sciurus_pucheranii,3,803,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2151;2655,NA,116015,8.49,0.65,4.57,-72.12,-77.85,-74.98,148.79,189.52,1483.22,1546.7
Rodentia,Sciuridae,Sciurus,pyrrhinus,Sciurus_pyrrhinus,3,482,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2151;2655,NA,63480,-10.23,-13.7,-11.97,-71.3,-74.87,-73.09,138.42,211,1152.54,1443.42
Rodentia,Sciuridae,Sciurus,richmondi,Sciurus_richmondi,3,237,NA,194.76,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1297;1639;1849;2151;2655,NA,27220,13.39,11.91,12.65,-83.62,-85.98,-84.8,202.67,225.16,1350.18,1713.64
Rodentia,Sciuridae,Sciurus,sanborni,Sciurus_sanborni,3,136,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2151;2655,NA,104684,-11.01,-14.4,-12.7,-69,-72.9,-70.95,309.04,194.93,1427.9,1498.5
Rodentia,Sciuridae,Sciurus,spadiceus,Sciurus_spadiceus,3,403,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,1,730;905;2151;2655,NA,2693893,0.39,-17.59,-8.59,-54.71,-77.82,-66.26,179.96,251.13,1402.14,1535.56
Rodentia,Sciuridae,Sciurus,stramineus,Sciurus_stramineus,3,433,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2151;2655,NA,142389,-0.89,-6.92,-3.9,-78.29,-81.35,-79.82,73.79,196.87,745.3,1347.59
Rodentia,Sciuridae,Sciurus,variegatoides,Sciurus_variegatoides,3,485,NA,264.11,NA,NA,NA,4,NA,NA,2,NA,NA,NA,2,2,338;2151;2655,NA,396517,16.02,7.19,11.61,-79.15,-93.3,-86.22,186.7,232.57,1306.6,1676.96
Rodentia,Sciuridae,Sciurus,vulgaris,Sciurus_vulgaris,3,333,NA,213.49,273.75,NA,NA,5,NA,37.99,2,144,313.67,NA,2,2,511;543;1297;1573;1577;1582;1732;1769;1841;1849;2047;2151;2608;2655;2947;2976;3143,NA,17785006,72.59,34.28,53.43,172.55,-6.23,83.16,37.04,-36.49,331.4,375.28
Rodentia,Sciuridae,Sciurus,yucatanensis,Sciurus_yucatanensis,3,225,NA,236.86,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,1,347;1297;2151;2655,NA,222990,21.6,15.4,18.5,-86.73,-92.05,-89.39,115.46,246.61,1328.87,1577.71
Chiroptera,Phyllostomidae,Scleronycteris,ega,Scleronycteris_ega,NA,49.5,34.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622,NA,243504,4.19,-4.15,0.02,-63.29,-67.35,-65.32,213.31,251.67,1627.91,1635.22
Rodentia,Muridae,Scolomys,melanops,Scolomys_melanops,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,11901,0.18,-1.53,-0.67,-77.06,-78.34,-77.7,222.99,177.09,1352.09,1360.18
Rodentia,Muridae,Scolomys,ucayalensis,Scolomys_ucayalensis,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,2596,-4.96,-5.56,-5.26,-73.48,-73.96,-73.72,211.75,259.5,1516.74,1517.99
Rodentia,Muridae,Scotinomys,teguina,Scotinomys_teguina,NA,11.6,NA,NA,NA,31.2,12,2,NA,31.29,1,NA,38.03,NA,1,2,1297;1376;1822;2151;2655,NA,175099,17.1,8.36,12.73,-82.21,-95.13,-88.67,158.13,222.84,1285.98,1651.02
Rodentia,Muridae,Scotinomys,xerampelinus,Scotinomys_xerampelinus,NA,15.1,NA,NA,NA,31.92,15.2,NA,NA,33.63,NA,NA,55.04,NA,NA,NA,1297;1376;1822;2655,NA,5990,10.1,8.71,9.41,-82.2,-83.93,-83.06,253.24,255.32,1484.03,1755
Chiroptera,Vespertilionidae,Scotoecus,albofuscus,Scotoecus_albofuscus,NA,4.5,29.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151;2622;2655,NA,5509426,15.77,-29.74,-6.98,39.5,-15.42,12.03,92.88,240.71,945.47,1562.9
Chiroptera,Vespertilionidae,Scotoecus,hirundo,Scotoecus_hirundo,NA,9.58,31.77,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1257;1297;1658;1938;2151;2622;2655,NA,9886444,14.41,-17.67,-1.62,51.41,-16.99,17.2,95.88,238.71,950.81,1561.79
Chiroptera,Vespertilionidae,Scotoecus,pallidus,Scotoecus_pallidus,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,7.34,721248,32.89,22.01,27.45,88.61,68.01,78.31,74.78,217.69,661.55,1285.99
Chiroptera,Vespertilionidae,Scotomanes,emarginatus,Scotomanes_emarginatus,NA,NA,55.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1658;2151,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Scotomanes,ornatus,Scotomanes_ornatus,NA,22.2,56.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,196;1658;2151;2622;2655,NA,1811539,29.02,19.54,24.28,118.11,86.85,102.48,139.1,161.41,1051.01,1208.67
Chiroptera,Pteropodidae,Scotonycteris,ophiodon,Scotonycteris_ophiodon,NA,68.8,75.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,266;271;1297;1658;2151;2655;3071,NA,342184,8.05,-4.54,1.75,12.67,-8.98,1.84,155.36,250.21,1303.72,1535.54
Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris_zenkeri,1,21.3,51.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,196;258;266;271;360;904;1297;1658;2151;2655;3071,NA,928860,8.07,-4.78,1.64,29.52,-10.46,9.53,155.63,244.26,1330.82,1544
Chiroptera,Vespertilionidae,Scotophilus,borbonicus,Scotophilus_borbonicus,1,18.9,46.24,NA,NA,NA,NA,NA,NA,185.59,1,NA,NA,NA,2,NA,44;1045;1048;1658;2143;2151;2655;2899;2900;3023,NA,2554,-20.85,-21.37,-21.11,55.84,55.21,55.53,89,195,NA,NA
Chiroptera,Vespertilionidae,Scotophilus,celebensis,Scotophilus_celebensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2151,NA,170486,1.75,-5.7,-1.97,125.24,118.75,121.99,229.41,215.47,1812.6,1909.15
Chiroptera,Vespertilionidae,Scotophilus,dinganii,Scotophilus_dinganii,NA,25.1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,44;196;1257;1297;2151;2176;2622;2655;2719;2894;2900,NA,14455527,17.72,-33.77,-8.02,51.41,-16.82,17.29,87.36,234.81,907.25,1546.63
Chiroptera,Vespertilionidae,Scotophilus,heathi,Scotophilus_heathi,NA,36,61.49,NA,286.42,NA,NA,1,NA,112.84,1,NA,167.29,NA,2,3,196;818;1297;1384;1388;1658;1674;1677;1680;1704;1705;1859;2143;2151;2655;3023,NA,5704572,35.57,6.05,20.81,112.07,66.15,89.11,112.43,222.49,846.85,1407.11
Chiroptera,Vespertilionidae,Scotophilus,kuhlii,Scotophilus_kuhlii,NA,20.3,51.4,NA,365,NA,NA,1,NA,109.99,1,NA,208.05,NA,2,3,196;1138;1139;1297;1439;1621;1658;2151;2655;2719,NA,7331223,34.31,-10.62,11.84,129.95,66.73,98.34,137.45,236.12,1003.84,1484.21
Chiroptera,Vespertilionidae,Scotophilus,leucogaster,Scotophilus_leucogaster,NA,20.2,51,NA,NA,NA,NA,1,NA,228.12,1,NA,NA,NA,2,3,1297;1658;1784;1938;2151;2655,NA,19600115,18.58,-34.83,-8.12,51.41,-17.53,16.93,82.81,235.59,849.51,1523
Chiroptera,Vespertilionidae,Scotophilus,nigrita,Scotophilus_nigrita,NA,24.2,79.5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,196;1297;1658;2143;2151;2622;2655;2719,NA,19728412,18.59,-34.83,-8.12,51.41,-17.53,16.93,82.09,235.06,843.08,1524.27
Chiroptera,Vespertilionidae,Scotophilus,nux,Scotophilus_nux,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2151;2622;2655,NA,3395972,9.05,-4.72,2.16,37.52,-12.78,12.36,145.71,241.79,1345.49,1562.74
Chiroptera,Vespertilionidae,Scotophilus,robustus,Scotophilus_robustus,2,NA,62.5,152.5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,1048;2151,64.7,322073,-11.94,-25.2,-18.57,50.48,43.22,46.85,131.72,224.13,1120.2,1603.66
Chiroptera,Vespertilionidae,Scotophilus,viridis,Scotophilus_viridis,NA,19.8,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,1257;1297;2151;2655,NA,11311742,14.4,-29.7,-7.65,42.25,-16.82,12.71,108.74,234.29,1062.18,1527.45
Insectivora,Soricidae,Scutisorex,somereni,Scutisorex_somereni,NA,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,252191,3.04,-2.54,0.24,33.31,23.63,28.47,128.58,222.68,1445.18,1590.96
Rodentia,Muridae,Sekeetamys,calurus,Sekeetamys_calurus,NA,56.6,NA,NA,NA,44.05,58.2,NA,NA,NA,NA,64.8,NA,NA,NA,NA,543;1297;2655;2978,NA,303183,31.44,19.13,25.29,47.03,30.98,39.01,3.26,214.01,71.42,1365.19
Rodentia,Myoxidae,Selevinia,betpakdalaensis,Selevinia_betpakdalaensis,2,17.1,NA,84.99,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,3,1297;2151,NA,164721,47.34,45.51,46.42,83.13,66.27,74.7,25.79,77.64,240.21,572.29
Primates,Cercopithecidae,Semnopithecus,entellus,Semnopithecus_entellus,3,12600,NA,624.27,1335.9,NA,NA,2,NA,197.7,NA,300,1298.21,NA,NA,1,208;543;679;730;741;929;1167;1297;1347;1544;1547;1649;1763;1767;1848;2344;2489;2493;2626;2655;2660;2748;3086,NA,2176499,34.63,5.91,20.27,88.71,69.01,78.86,90.59,238.86,743.63,1446.14
Insectivora,Tenrecidae,Setifer,setosus,Setifer_setosus,1,290,NA,185,NA,94.59,352.5,2,NA,57.65,1,126,215.96,10,1,2,543;886;1045;1048;1160;1297;1822;1946;2151;2655;2720;2786,NA,261594,-12.31,-25.6,-18.96,50.44,43.22,46.83,125.02,221.17,1093.42,1609.19
Diprotodontia,Macropodidae,Setonix,brachyurus,Setonix_brachyurus,1,3030,NA,NA,410.62,784.52,2600,2,NA,27.49,1,144,374.16,NA,1,1,543;730;955;1015;1052;1297;1412;1760;1822;1848;2483;2655;2986,NA,44560,-31.98,-35.13,-33.56,118.74,114.97,116.86,67.08,148.61,474.46,1106.78
Rodentia,Dipodidae,Sicista,armenica,Sicista_armenica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,40.66,40.6,40.63,44.5,44.45,44.47,41,7.5,565,750.5
Rodentia,Dipodidae,Sicista,betulina,Sicista_betulina,NA,8.93,NA,NA,NA,32,10,NA,NA,31.5,NA,48,328.99,NA,NA,NA,543;1297;1822;2151;2655,NA,7681696,67.02,45.47,56.24,111.22,6.52,58.87,39.11,-5.63,349.71,378.05
Rodentia,Dipodidae,Sicista,caucasica,Sicista_caucasica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259,44.35,43.92,44.14,40.21,39.76,39.98,91.06,53.19,634.04,839.25
Rodentia,Dipodidae,Sicista,caudata,Sicista_caudata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106217,52.33,44.73,48.53,143.54,135.02,139.28,54.05,-20.75,477.24,513.69
Rodentia,Dipodidae,Sicista,concolor,Sicista_concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454459,46.25,33.84,40.05,132.16,73.21,102.69,57.15,14.98,545.35,785.54
Rodentia,Dipodidae,Sicista,kazbegica,Sicista_kazbegica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,42.66,42.57,42.61,44.42,44.33,44.38,66,-52,635,635
Rodentia,Dipodidae,Sicista,kluchorica,Sicista_kluchorica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18843,44.28,42.99,43.63,43.18,40.56,41.87,62.89,-3.05,631.7,677.67
Rodentia,Dipodidae,Sicista,napaea,Sicista_napaea,NA,10,NA,NA,NA,NA,NA,3,NA,19.99,NA,NA,NA,NA,NA,2,1297;2151;2655,NA,236088,53.54,47.33,50.44,89.3,79.08,84.19,33.22,-25.12,389.58,525.46
Rodentia,Dipodidae,Sicista,pseudonapaea,Sicista_pseudonapaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26693,49.68,48.57,49.12,87.73,82.07,84.9,29.22,-45.16,352.18,547.38
Rodentia,Dipodidae,Sicista,severtzovi,Sicista_severtzovi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345,51.35,50.73,51.04,41.12,40.5,40.81,35.99,41.74,393.01,498.84
Rodentia,Dipodidae,Sicista,strandi,Sicista_strandi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254890,52.3,43.07,47.69,46.68,35.76,41.22,36.98,79.63,444.44,601.01
Rodentia,Dipodidae,Sicista,subtilis,Sicista_subtilis,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,3679355,55.9,41.81,48.86,105.62,17.62,61.62,31.27,42.07,381.68,538.71
Rodentia,Dipodidae,Sicista,tianshanica,Sicista_tianshanica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297,NA,317896,47.6,41.66,44.63,87.84,74.66,81.25,21.29,-2.01,276.72,663.88
Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,Sigmoceros_lichtensteinii,NA,168000,NA,NA,730,NA,NA,3,NA,236.99,1,NA,517.08,NA,1,1,869;1297;1848;2629;2655;2693,NA,2264336,-1.36,-21.89,-11.63,39.41,19.07,29.24,91.49,222.42,908.73,1494.78
Rodentia,Muridae,Sigmodon,alleni,Sigmodon_alleni,NA,174,NA,170.34,87,203.25,137.8,NA,NA,36.59,NA,NA,NA,NA,NA,NA,1297;1822;2615;2655,NA,177950,23.71,15.64,19.68,-94.75,-106.34,-100.55,90.52,210.78,867.66,1602.77
Rodentia,Muridae,Sigmodon,alstoni,Sigmodon_alstoni,2,55.7,NA,NA,NA,NA,NA,3,NA,NA,1,NA,54.34,NA,1,1,730;1297;2151;2159;2655,NA,727598,11.18,-1.43,4.87,-49.87,-72.69,-61.28,141.76,252.89,1364.92,1708.22
Rodentia,Muridae,Sigmodon,arizonae,Sigmodon_arizonae,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,348392,34.52,22.18,28.35,-104.4,-114.5,-109.45,32.38,177.81,560.26,1292.44
Rodentia,Muridae,Sigmodon,fulviventer,Sigmodon_fulviventer,NA,196,NA,180.52,77,207.38,137.8,NA,NA,36.59,1,NA,NA,NA,1,NA,157;730;1297;1822;2655,NA,549412,36.19,19.2,27.7,-100.93,-111.71,-106.32,35.24,147.95,514.2,1235.56
Rodentia,Muridae,Sigmodon,hispidus,Sigmodon_hispidus,2,111,NA,167.49,65,159.64,110.05,5,NA,27,NA,62.4,43.97,10,NA,2,365;532;533;543;730;782;783;848;1116;1166;1206;1297;1392;1577;1593;1595;1756;1822;1849;2166;2197;2373;2473;2632;2655;2769,NA,4496285,40.93,7.19,24.06,-66.52,-115.26,-90.89,84.64,185.61,876.99,1240.17
Rodentia,Muridae,Sigmodon,inopinatus,Sigmodon_inopinatus,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,20682,-0.81,-3.54,-2.18,-77.98,-79.3,-78.64,212.79,141.54,1188.22,1356.53
Rodentia,Muridae,Sigmodon,leucotis,Sigmodon_leucotis,NA,132,NA,157.54,NA,186.47,128.6,NA,NA,35,1,NA,NA,NA,1,NA,1297;1822;2616;2655,NA,283911,27.13,16.67,21.9,-96.4,-107.45,-101.92,61.27,155.77,792.58,1330.48
Rodentia,Muridae,Sigmodon,mascotensis,Sigmodon_mascotensis,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,253915,20.96,15.64,18.3,-93.64,-105.7,-99.67,99.85,205.18,908.25,1576.27
Rodentia,Muridae,Sigmodon,ochrognathus,Sigmodon_ochrognathus,NA,122,NA,151.32,71,154.23,115.1,NA,NA,34.62,NA,NA,42.95,NA,NA,NA,156;1263;1297;1357;1822;2655,NA,418072,33.9,24.45,29.18,-102.65,-112.1,-107.38,28.35,160.21,457.5,1218.95
Rodentia,Muridae,Sigmodon,peruanus,Sigmodon_peruanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Sigmodontomys,alfari,Sigmodontomys_alfari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315114,14.92,-2.35,6.28,-71.33,-85.86,-78.59,200.32,239.82,1422.19,1672.73
Rodentia,Muridae,Sigmodontomys,aphrastus,Sigmodontomys_aphrastus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6781,9.5,8.25,8.88,-81.71,-83.87,-82.79,244.2,258.43,1528,1755
Dasyuromorphia,Dasyuridae,Sminthopsis,aitkeni,Sminthopsis_aitkeni,2,22.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,4408,-35.56,-36.07,-35.82,138.13,136.53,137.33,45.25,144.5,NA,NA
Dasyuromorphia,Dasyuridae,Sminthopsis,archeri,Sminthopsis_archeri,2,16,NA,92.56,NA,NA,NA,2,64.99,NA,1,NA,NA,8,1,3,977;1760;1991;2655;2906,NA,27354,-8.49,-13.12,-10.81,143.54,140.12,141.83,123.67,264.16,1034.14,1770.19
Dasyuromorphia,Dasyuridae,Sminthopsis,butleri,Sminthopsis_butleri,2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,15928,-11.15,-14.87,-13.01,131.53,126.21,128.87,94.95,280.59,851.67,1807.67
Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Sminthopsis_crassicaudata,2,16.3,NA,NA,144,19.56,14.95,2,NA,16,1,51.6,125.17,NA,1,3,543;796;955;1052;1297;1412;1760;1822;2031;2483;2484;2655,NA,4827312,-18.73,-38.85,-28.79,150.93,113.14,132.03,28.14,195.34,350.47,1244.37
Dasyuromorphia,Dasyuridae,Sminthopsis,dolichura,Sminthopsis_dolichura,2,14.6,NA,NA,NA,NA,NA,NA,NA,NA,1,38.04,244.64,NA,1,NA,955;1760;2655,NA,481145,-25.49,-35.01,-30.25,137.8,112.91,125.35,24.48,177.13,311.77,1150.55
Dasyuromorphia,Dasyuridae,Sminthopsis,douglasi,Sminthopsis_douglasi,2,55,NA,95,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,3,899;1760;2655,NA,24392,-18.81,-21.39,-20.1,143.83,141.4,142.62,42.47,249.14,576.72,1621.1
Dasyuromorphia,Dasyuridae,Sminthopsis,fuliginosus,Sminthopsis_fuliginosus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasyuromorphia,Dasyuridae,Sminthopsis,gilberti,Sminthopsis_gilberti,2,19.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,114805,-30.93,-34.01,-32.47,127.96,115.88,121.92,38.94,157.4,386.26,1105.18
Dasyuromorphia,Dasyuridae,Sminthopsis,granulipes,Sminthopsis_granulipes,2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,76316,-30.14,-34.08,-32.11,119.95,115.65,117.8,41.56,158.18,413.81,1151.29
Dasyuromorphia,Dasyuridae,Sminthopsis,griseoventer,Sminthopsis_griseoventer,2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,205152,-28.96,-35.13,-32.04,124.76,114.74,119.75,48.02,159.5,420.17,1130.98
Dasyuromorphia,Dasyuridae,Sminthopsis,hirtipes,Sminthopsis_hirtipes,2,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1760;2655,NA,1251751,-22.82,-31.42,-27.12,139.93,113.14,126.54,16.85,200.86,238.82,1225.59
Dasyuromorphia,Dasyuridae,Sminthopsis,laniger,Sminthopsis_laniger,2,26.1,NA,NA,NA,24.4,24.9,NA,NA,11.74,1,39.6,340.98,NA,1,NA,543;955;1052;1297;1412;1760;1822;2655,NA,2523957,-19.46,-34.73,-27.09,148.7,113.77,131.24,21.07,205.94,278.99,1292.12
Dasyuromorphia,Dasyuridae,Sminthopsis,leucopus,Sminthopsis_leucopus,2,24,NA,NA,NA,NA,NA,NA,NA,17.32,1,30,309.3,NA,1,NA,955;1297;1573;1760;2655,NA,105026,-35.17,-43.11,-39.14,150.59,141.22,145.91,66.89,116.07,606.44,896.67
Dasyuromorphia,Dasyuridae,Sminthopsis,longicaudata,Sminthopsis_longicaudata,2,18,NA,95,NA,NA,NA,2,NA,14.19,1,60,NA,NA,1,3,1015;1297;1760;2655,NA,1117003,-21.89,-29.87,-25.88,134.61,114.98,124.8,17.43,209.25,254.13,1284.41
Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,Sminthopsis_macroura,2,24,NA,NA,NA,23.54,22,NA,NA,11.72,1,58.8,124.46,NA,1,NA,543;955;1297;1760;1822;2484;2655,NA,4742717,-15.18,-33.4,-24.29,151.08,113.38,132.23,28.2,220.19,377.2,1379.55
Dasyuromorphia,Dasyuridae,Sminthopsis,murina,Sminthopsis_murina,2,17,NA,NA,NA,20.51,12.9,NA,NA,12.5,1,24,196.44,NA,1,NA,955;1297;1760;1822;2655,NA,845918,-16.45,-38.49,-27.47,153.63,139.19,146.41,57.43,170.16,640.47,1182.11
Dasyuromorphia,Dasyuridae,Sminthopsis,ooldea,Sminthopsis_ooldea,2,12.4,NA,NA,NA,NA,NA,NA,NA,20.88,1,36,278.56,NA,1,NA,955;1297;1760;2655,NA,1509038,-18.9,-30.5,-24.7,136.77,119.29,128.03,18.37,210.94,268.74,1288.41
Dasyuromorphia,Dasyuridae,Sminthopsis,psammophila,Sminthopsis_psammophila,2,33.5,NA,104.99,NA,NA,NA,2,NA,NA,1,60,NA,NA,1,3,1015;1760;2655,NA,61814,-28.67,-32.58,-30.62,136.25,123.11,129.68,16.54,182.42,241.92,1132.3
Dasyuromorphia,Dasyuridae,Sminthopsis,virginiae,Sminthopsis_virginiae,2,35.3,NA,110.28,NA,NA,NA,2,64.99,16.32,1,24,220.65,6,1,3,955;977;1297;1760;1991;2071;2484;2655;2800,NA,381450,-7.28,-20.45,-13.86,148.83,124.41,136.62,115.54,258.59,1046.86,1743.96
Dasyuromorphia,Dasyuridae,Sminthopsis,youngsoni,Sminthopsis_youngsoni,2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,955;1760;2655,NA,1301460,-18.49,-25.92,-22.21,140.06,113.57,126.82,23.86,231.65,327.1,1385.93
Insectivora,Solenodontidae,Solenodon,cubanus,Solenodon_cubanus,2,788,NA,349.85,NA,NA,NA,2,NA,NA,3,78,NA,2,2,3,511;543;888;891;899;1297;1848;2198;2304;2655;2916,NA,49168,22.23,19.82,21.03,-74.13,-80.45,-77.29,95.04,250.76,1272.25,1761.11
