Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Rodentia,Muridae,Alticola,stracheyi,Alticola_stracheyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549313,34.1,27.07,30.58,95.56,75.5,85.53,100.33,26.93,788.63,1091.77
Rodentia,Muridae,Alticola,strelzowi,Alticola_strelzowi,NA,50,NA,117.32,NA,NA,NA,NA,NA,20.91,1,NA,NA,NA,1,NA,1297;2103;2655,NA,586631,51.3,45.99,48.65,92.1,69.46,80.78,24.81,1.17,285.78,543.58
Rodentia,Muridae,Alticola,tuvinicus,Alticola_tuvinicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439593,55.42,48.62,52.02,103.1,89.62,96.36,25.62,-78.47,326.83,432.91
Carnivora,Mustelidae,Amblonyx,cinereus,Amblonyx_cinereus,1,3530,NA,519.43,NA,NA,NA,1,NA,64.82,2,121,NA,NA,1,3,1113;2655,NA,3673361,31.39,-8.78,11.3,122,74.6,98.3,173.12,226.57,1249.58,1519.08
Rodentia,Heptaxodontidae,Amblyrhiza,inundata,Amblyrhiza_inundata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insectivora,Chrysochloridae,Amblysomus,gunningi,Amblysomus_gunningi,NA,NA,NA,123.96,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,3,1848;2131;2629,56.3,88,-23.9,-24,-23.95,30.96,30.86,30.91,67.99,221,998.54,1289.53
Insectivora,Chrysochloridae,Amblysomus,hottentotus,Amblysomus_hottentotus,2,67.6,NA,123.44,NA,84.7,70,2,NA,NA,2,12,NA,NA,1,2,285;948;949;966;1297;1339;1664;1713;1714;1822;1848;2131;2629;2655;2786,NA,260309,-25.35,-33.34,-29.34,32.25,24.74,28.49,56.1,147.96,809.98,1143.63
Insectivora,Chrysochloridae,Amblysomus,iris,Amblysomus_iris,2,44.8,NA,114,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,2,285;2131;2629;2655,NA,79163,-26.21,-34.36,-30.28,30.13,18.42,24.27,44.1,149.49,609.03,1197.16
Insectivora,Chrysochloridae,Amblysomus,julianae,Amblysomus_julianae,NA,22,NA,100.99,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,3,1339;1848;2131;2629;2655,NA,13822,-24.05,-26.06,-25.06,31.91,27.95,29.93,52.63,189.78,765.87,1273.15
Chiroptera,Phyllostomidae,Ametrida,centurio,Ametrida_centurio,NA,10.6,29,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,196;889;1297;1658;2151;2622;2655,NA,4577248,12.19,-16.56,-2.18,-46.31,-71.54,-58.93,159.06,250.29,1385.28,1616.68
